location_id,county_name
18001,Adams
18003,Allen
18005,Bartholomew
18007,Benton
18009,Blackford
18011,Boone
18013,Brown
18015,Carroll
18017,Cass
18019,Clark
18021,Clay
18023,Clinton
18025,Crawford
18027,Daviess
18029,Dearborn
18031,Decatur
18033,De Kalb
18035,Delaware
18037,Dubois
18039,Elkhart
18041,Fayette
18043,Floyd
18045,Fountain
18047,Franklin
18049,Fulton
18051,Gibson
18053,Grant
18055,Greene
18057,Hamilton
18059,Hancock
18061,Harrison
18063,Hendricks
18065,Henry
18067,Howard
18069,Huntington
18071,Jackson
18073,Jasper
18075,Jay
18077,Jefferson
18079,Jennings
18081,Johnson
18083,Knox
18085,Kosciusko
18087,Lagrange
18089,Lake
18091,La Porte
18093,Lawrence
18095,Madison
18097,Marion
18099,Marshall
18101,Martin
18103,Miami
18105,Monroe
18107,Montgomery
18109,Morgan
18111,Newton
18113,Noble
18115,Ohio
18117,Orange
18119,Owen
18121,Parke
18123,Perry
18125,Pike
18127,Porter
18129,Posey
18131,Pulaski
18133,Putnam
18135,Randolph
18137,Ripley
18139,Rush
18141,St. Joseph
18143,Scott
18145,Shelby
18147,Spencer
18149,Starke
18151,Steuben
18153,Sullivan
18155,Switzerland
18157,Tippecanoe
18159,Tipton
18161,Union
18163,Vanderburgh
18165,Vermillion
18167,Vigo
18169,Wabash
18171,Warren
18173,Warrick
18175,Washington
18177,Wayne
18179,Wells
18181,White
18183,Whitley
