county,median_gross_rent,average_household_size,building_permits_number,percent_households_with_computer,percent_households_with_broadband_internet,dollars_per_capita_income_in_past_12_months_2018,population_per_square_mile,median_household_income
Adams,607,2.78,91,76.4,67.3,22514,101.4,51713
Allen,744,2.54,1641,89.3,80.7,28239,540.6,53402
Bartholomew,898,2.56,170,86.4,77.1,30515,188.7,59045
Benton,689,2.51,16,88.1,73.8,23322,21.8,46188
Blackford,623,2.29,3,82.3,68.5,24663,77.3,42217
Boone,985,2.58,477,92.2,85.8,44712,133.9,80567
Brown,860,2.44,84,88.8,72.6,33617,48.9,61455
Carroll,678,2.52,51,86.2,74.8,28430,54.1,56429
Cass,654,2.52,5,85.6,73.3,23918,94.5,47545
Clark,813,2.57,753,87.2,74.9,28525,295.6,54240
Clay,678,2.45,2,83.7,73.9,25290,75.2,53021
Clinton,707,2.64,32,87.4,75,24276,82,52488
Crawford,653,2.68,24,77.3,61.2,21021,35.1,43875
Daviess,677,2.83,115,75.7,65.5,22548,73.7,51032
Dearborn,737,2.62,58,88.8,79.8,29891,164.1,65096
Decatur,796,2.51,119,86.4,71.8,26515,69.1,54622
DeKalb,686,2.52,52,87.3,77.7,27036,116.4,53808
Delaware,714,2.35,72,87.5,76.2,24234,300.1,42705
Dubois,661,2.5,351,85.5,78.3,28932,98,58994
Elkhart,777,2.77,17,84.9,77,25075,426.5,55399
Fayette,696,2.39,206,81.7,66.8,23627,112.9,43317
Floyd,786,2.57,51,87.6,76.8,32299,504.1,61754
Fountain,656,2.32,69,84.2,74.7,26721,43.6,49887
Franklin,741,2.59,19,82.3,70,27557,60.1,58382
Fulton,653,2.54,133,85.3,72.3,25106,56.6,49333
Gibson,670,2.47,74,85.9,76.7,27137,68.7,52620
Grant,682,2.36,3005,84,69,21739,169.2,42593
Greene,617,2.5,638,80.3,69,24309,61.1,49177
Hamilton,1152,2.69,96,96.7,93.1,46597,696.4,94644
Hancock,887,2.59,935,92.6,83.9,32730,228.8,73142
Harrison,710,2.7,51,86.3,70.8,27211,81.2,57132
Hendricks,1051,2.72,349,94.5,87.2,34689,357.4,78355
Henry,710,2.45,85,82.6,70.8,23851,126.2,48235
Howard,699,2.35,168,86.6,76.2,27297,282.4,50869
Huntington,693,2.37,97,86.3,74.8,25386,97,52208
Jackson,741,2.58,19,81.9,72.6,24522,83.2,49506
Jasper,771,2.6,47,87.2,79,26415,59.8,59574
Jay,643,2.54,50,81.3,66.2,22470,55.4,44772
Jefferson,741,2.32,843,85.4,75.6,26060,89.9,51119
Jennings,742,2.57,37,83.4,71.7,23490,75.7,49801
Johnson,927,2.67,324,92.2,84.1,32475,435.8,68712
Knox,651,2.35,150,87.4,76.7,24581,74.5,46457
Kosciusko,778,2.52,1287,88.4,77.3,28740,145.6,58402
LaGrange,726,3.2,140,66.2,58.5,23626,97.8,60675
Lake,873,2.59,19,85.8,77.3,27660,994.1,54249
LaPorte,738,2.38,106,88.2,77.1,25865,186.3,51101
Lawrence,684,2.43,2398,82,72.4,25590,102.7,52092
Madison,772,2.4,67,85.4,77.4,24625,291.3,47436
Marion,862,2.51,8,85.5,76.5,27251,2279.6,46692
Marshall,706,2.66,26,82.4,69.8,25537,106.1,54229
Martin,559,2.36,369,80.4,70.8,25676,30.8,51224
Miami,712,2.46,67,84.7,72.2,22871,98.7,47460
Monroe,893,2.35,183,92.9,82.8,27461,349.7,47075
Montgomery,670,2.42,18,88.2,78.2,26184,75.6,53610
Morgan,809,2.65,151,88.8,78.4,28633,170.5,62462
Newton,687,2.48,32,89.3,78.4,25366,35.5,53146
Noble,709,2.58,3,86.6,77.6,26063,115.7,55033
Ohio,771,2.32,48,79.7,73.7,29368,71.1,61148
Orange,613,2.44,40,77.1,64.9,23317,49.8,45341
Owen,691,2.38,24,78.5,67.8,24129,56,48667
Parke,588,2.53,578,76.3,66.2,23052,39,48788
Perry,564,2.34,53,79.2,70.3,24540,50.7,51064
Pike,575,2.37,11,79.6,65.2,26584,38.4,52527
Porter,922,2.56,142,91.1,82.7,32943,393,68044
Posey,708,2.49,16,88.4,75.6,30572,63.3,62583
Pulaski,690,2.41,97,84.6,72.7,24695,30.9,48370
Putnam,784,2.4,18,88.8,77.4,24627,79,56169
Randolph,645,2.36,27,84.8,71.9,23539,57.9,45601
Ripley,691,2.5,83,85.6,73.9,27423,64.6,56295
Rush,708,2.45,40,82.9,63,24900,42.6,50535
Scott,783,2.59,648,81,66.4,22688,127,47123
Shelby,783,2.46,40,85.9,73.7,28491,108.1,59214
Spencer,706,2.5,155,81.8,69.9,29999,52.8,56998
St. Joseph,767,2.54,22,85.2,76.4,27338,583,50938
Starke,685,2.62,61,83.2,71,23282,75.6,48895
Steuben,766,2.34,1751,88.7,79.4,28429,110.7,56101
Sullivan,693,2.42,25,80.5,65.5,22976,48,46517
Switzerland,769,2.45,7,80.3,68.1,23347,48.1,47929
Tippecanoe,837,2.5,267,93.4,82.3,26262,345.7,51844
Tipton,744,2.38,13,87.6,74.6,30026,61.2,55479
Union,815,2.49,93,83.8,67.5,24040,46.6,48227
Vanderburgh,770,2.32,25,87.1,77.9,28320,769.7,46943
Vermillion,653,2.32,18,85.5,77.6,25143,63.1,48377
Vigo,729,2.36,241,86.6,76.7,24254,267.4,43859
Wabash,693,2.31,69,87.5,72,25228,79.7,50637
Warren,736,2.41,122,88.2,76.2,29408,23.3,61148
Warrick,854,2.52,59,90.8,82.7,35915,155.1,70648
Washington,667,2.57,50,78.1,66.4,24048,55,47078
Wayne,674,2.4,184,84.5,69,25460,171.5,44228
Wells,674,2.52,,85.8,75.3,27106,75.1,56265
White,716,2.45,,87.1,76.6,27621,48.8,55086
Whitley,688,2.45,,90,78,30144,99.2,61153
